Date,Open,High,Low,Close,Volume,Daily_Return_Pct,Daily_Range,MA_20,MA_50,MA_200,EMA_12,EMA_26,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Width,RSI_14,Volume_MA_20,Cumulative_Return_Pct,Year,Month,Quarter,Day_of_Week,Volatility_30d
2000-01-03,56.5,57.25,53.82,55.77,1571834.0,0.6679,3.43,52.668,51.5516,57.5815,54.525,52.9421,1.5829,1.2465,59.1258,46.2102,12.9155,77.7262,1381840.55,220.34,2000,1,1,Monday,
2000-01-04,54.15,54.27,51.69,54.25,1902694.0,-2.7255,2.58,52.913,51.582,57.5455,54.4827,53.039,1.4438,1.2859,59.2105,46.6155,12.5951,72.043,1400762.0,211.61,2000,1,1,Tuesday,
2000-01-05,51.31,52.25,51.05,52.23,1211327.0,-3.7235,1.2,53.089,51.5586,57.5007,54.1361,52.979,1.1571,1.2602,59.0813,47.0967,11.9846,55.8538,1396662.15,200.01,2000,1,1,Wednesday,
2000-01-06,52.09,52.2,51.25,52.0,658980.0,-0.4404,0.95,53.2215,51.5426,57.4583,53.8075,52.9065,0.901,1.1883,58.9783,47.4647,11.5135,32.7869,1360052.2,198.69,2000,1,1,Thursday,
2000-01-07,52.2,53.79,51.64,53.5,1472523.0,2.8846,2.15,53.496,51.5236,57.4235,53.7602,52.9505,0.8097,1.1126,58.7038,48.2882,10.4157,45.8248,1394085.05,207.3,2000,1,1,Friday,
2000-01-10,54.27,54.75,53.3,53.65,1452426.0,0.2804,1.45,53.7485,51.4764,57.3894,53.7432,53.0023,0.7409,1.0383,58.4188,49.0782,9.3406,50.1618,1422371.95,208.17,2000,1,1,Monday,
2000-01-11,53.75,54.55,53.3,54.49,1523346.0,1.5657,1.25,54.043,51.4414,57.3614,53.8581,53.1125,0.7456,0.9797,58.0407,50.0453,7.9955,50.0541,1440932.3,212.99,2000,1,1,Tuesday,
2000-01-12,54.0,55.05,53.3,53.57,970867.0,-1.6884,1.75,54.3165,51.4426,57.323,53.8138,53.1464,0.6674,0.9173,57.1937,51.4393,5.7544,41.6228,1355925.75,207.71,2000,1,1,Wednesday,
2000-01-13,53.5,54.25,52.16,52.23,968477.0,-2.5014,2.09,54.395,51.4362,57.2779,53.5701,53.0785,0.4916,0.8322,56.9158,51.8742,5.0415,36.4728,1140800.3,200.01,2000,1,1,Thursday,
2000-01-14,52.83,53.49,52.33,52.51,1140479.0,0.5361,1.16,54.263,51.4564,57.2327,53.407,53.0364,0.3706,0.7399,56.8915,51.6345,5.257,37.2835,998019.9,201.62,2000,1,1,Friday,
2000-01-17,53.01,53.98,52.82,53.2,1136499.0,1.314,1.16,54.207,51.4872,57.1882,53.3752,53.0485,0.3267,0.6572,56.8777,51.5363,5.3415,35.761,994183.9,205.58,2000,1,1,Monday,
2000-01-18,53.1,53.2,51.65,52.2,1047611.0,-1.8797,1.55,54.136,51.4932,57.1387,53.1944,52.9857,0.2087,0.5675,56.9444,51.3276,5.6168,33.5083,988433.95,199.84,2000,1,1,Tuesday,
2000-01-19,52.2,52.35,50.15,51.0,1686794.0,-2.2989,2.2,53.962,51.4802,57.0741,52.8568,52.8386,0.0182,0.4577,57.0933,50.8307,6.2626,31.7579,1000441.9,192.94,2000,1,1,Wednesday,
2000-01-20,51.25,51.29,49.46,49.75,1716972.0,-2.451,1.83,53.6915,51.4786,56.9879,52.3788,52.6098,-0.231,0.3199,57.2873,50.0957,7.1916,28.7754,1041020.05,185.76,2000,1,1,Thursday,
2000-01-21,49.77,50.05,49.55,49.66,1498871.0,-0.1809,0.5,53.4165,51.4638,56.9012,51.9605,52.3913,-0.4307,0.1698,57.3635,49.4695,7.8941,26.5541,1115963.6,185.25,2000,1,1,Friday,
2000-01-24,49.73,50.15,48.75,49.16,1018501.0,-1.0068,1.4,53.1095,51.443,56.805,51.5297,52.1519,-0.6222,0.0114,57.3815,48.8375,8.5439,28.8093,1134497.15,182.37,2000,1,1,Monday,
2000-01-25,48.8,49.12,48.0,48.01,870756.0,-2.3393,1.12,52.6975,51.397,56.7001,50.9882,51.8451,-0.8569,-0.1623,57.2728,48.1222,9.1506,31.0593,1151465.15,175.77,2000,1,1,Tuesday,
2000-01-26,48.55,48.93,47.05,48.0,1320836.0,-0.0208,1.88,52.299,51.3252,56.5913,50.5285,51.5603,-1.0318,-0.3362,57.0588,47.5392,9.5196,31.685,1175666.2,175.71,2000,1,1,Wednesday,
2000-01-27,48.01,49.56,47.1,49.52,1055147.0,3.1667,2.46,52.005,51.2854,56.4829,50.3733,51.4092,-1.0358,-0.4761,56.684,47.326,9.358,31.8099,1211247.0,184.44,2000,1,1,Thursday,
2000-01-28,49.59,50.59,49.23,49.69,1377581.0,0.3433,1.36,51.7195,51.2454,56.3754,50.2682,51.2818,-1.0136,-0.5836,56.2197,47.2193,9.0004,31.9343,1280126.05,185.42,2000,1,1,Friday,
2000-01-31,49.01,49.05,47.7,48.25,965003.0,-2.898,1.35,51.3435,51.1994,56.2694,49.9577,51.0572,-1.0995,-0.6868,55.6721,47.0149,8.6572,23.0104,1249784.5,177.15,2000,1,1,Monday,
2000-02-01,48.55,48.75,46.9,47.16,1285101.0,-2.2591,1.85,50.989,51.1486,56.1579,49.5273,50.7686,-1.2413,-0.7977,55.4738,46.5042,8.9696,22.6769,1218904.85,170.89,2000,2,1,Tuesday,
2000-02-02,47.65,48.1,47.0,47.66,909008.0,1.0602,1.1,50.7605,51.1218,56.0377,49.24,50.5383,-1.2983,-0.8978,55.4405,46.0805,9.36,29.0174,1203788.9,173.76,2000,2,1,Wednesday,
2000-02-03,47.3,48.4,46.65,47.31,1099074.0,-0.7344,1.75,50.526,51.092,55.9378,48.9431,50.2992,-1.3561,-0.9895,55.4101,45.6419,9.7681,26.2774,1225793.6,171.75,2000,2,1,Thursday,
2000-02-04,47.01,47.4,46.1,46.99,1234026.0,-0.6764,1.3,50.2005,51.062,55.8437,48.6426,50.054,-1.4114,-1.0739,55.1176,45.2834,9.8343,20.6799,1213868.75,169.91,2000,2,1,Friday,
2000-02-07,47.0,47.0,46.05,46.55,665035.0,-0.9364,0.95,49.8455,51.021,55.7444,48.3207,49.7945,-1.4738,-1.1538,54.7392,44.9518,9.7874,21.8345,1174499.2,167.38,2000,2,1,Monday,
